key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,organization,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,projectName
AZu02sh_TfQp2-9q9XNw,php:S100,MINOR,stephenfeather_sermon-browser:sb-includes/frontend.php,stephenfeather_sermon-browser,368.0,f2330478dbed8f63ca354c7ab245615b,"{'startLine': 368, 'endLine': 368, 'startOffset': 9, 'endOffset': 31}",[],OPEN,"Rename function ""sb_print_bible_passage"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02sh_TfQp2-9q9XN3,php:S100,MINOR,stephenfeather_sermon-browser:sb-includes/frontend.php,stephenfeather_sermon-browser,465.0,842124784104f94374412ac9e08190b3,"{'startLine': 465, 'endLine': 465, 'startOffset': 9, 'endOffset': 21}",[],OPEN,"Rename function ""sb_edit_link"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02sh_TfQp2-9q9XOE,php:S100,MINOR,stephenfeather_sermon-browser:sb-includes/frontend.php,stephenfeather_sermon-browser,612.0,9d39cda22285b59d17ebb82822a349da,"{'startLine': 612, 'endLine': 612, 'startOffset': 9, 'endOffset': 32}",[],OPEN,"Rename function ""sb_print_next_page_link"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02sh_TfQp2-9q9XOF,php:S100,MINOR,stephenfeather_sermon-browser:sb-includes/frontend.php,stephenfeather_sermon-browser,624.0,a04d453927833ecf58b8b05143943646,"{'startLine': 624, 'endLine': 624, 'startOffset': 9, 'endOffset': 32}",[],OPEN,"Rename function ""sb_print_prev_page_link"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02sfXTfQp2-9q9XMR,php:S100,MINOR,stephenfeather_sermon-browser:sb-includes/podcast.php,stephenfeather_sermon-browser,3.0,ab6691b363be81623e0da318cb7040b4,"{'startLine': 3, 'endLine': 3, 'startOffset': 9, 'endOffset': 26}",[],OPEN,"Rename function ""sb_print_iso_date"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02skrTfQp2-9q9XWX,php:S1780,MINOR,stephenfeather_sermon-browser:sb-includes/style.php,stephenfeather_sermon-browser,21.0,6ec256c8a7669df51b63aea2878825e2,"{'startLine': 21, 'endLine': 21, 'startOffset': 0, 'endOffset': 2}",[],OPEN,"Remove this closing tag ""?>"".",2min,2min,mark@sharonandmark.net,"['bad-practice', 'per']",2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02sk_TfQp2-9q9XW-,php:S100,MINOR,stephenfeather_sermon-browser:sermon.php,stephenfeather_sermon-browser,260.0,61904403a4f15de387c362a4622ae781,"{'startLine': 260, 'endLine': 260, 'startOffset': 9, 'endOffset': 25}",[],OPEN,"Rename function ""sb_return_kbytes"" to match the regular expression ^[a-z][a-zA-Z0-9]*$.",5min,5min,mark@sharonandmark.net,['convention'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02slATfQp2-9q9XXb,php:S1301,MINOR,stephenfeather_sermon-browser:sermon.php,stephenfeather_sermon-browser,263.0,0d0895b006120bce9696b0ea91926667,"{'startLine': 263, 'endLine': 263, 'startOffset': 1, 'endOffset': 7}",[],OPEN,"Replace this ""switch"" statement with ""if"" statements to increase readability.",5min,5min,mark@sharonandmark.net,['bad-practice'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,sermon-browser
AZu02slATfQp2-9q9XZc,php:S131,CRITICAL,stephenfeather_sermon-browser:sermon.php,stephenfeather_sermon-browser,263.0,0d0895b006120bce9696b0ea91926667,"{'startLine': 263, 'endLine': 263, 'startOffset': 1, 'endOffset': 7}",[],OPEN,"Add a ""case default"" clause to this ""switch"" statement.",5min,5min,mark@sharonandmark.net,['cwe'],2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,sermon-browser
AZu02slATfQp2-9q9XYR,php:S128,BLOCKER,stephenfeather_sermon-browser:sermon.php,stephenfeather_sermon-browser,264.0,6aa10a89bdacd3ea52b3ebab7d96edb0,"{'startLine': 264, 'endLine': 264, 'startOffset': 2, 'endOffset': 11}",[],OPEN,"End this switch case with an unconditional break, continue, return or throw statement.",10min,10min,mark@sharonandmark.net,"['cwe', 'suspicious']",2008-07-03T09:02:45+0000,2026-01-13T00:56:07+0000,CODE_SMELL,stephenfeather,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'BLOCKER'}]",OPEN,sermon-browser
